bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF777MZR	125	ENCFF948LKH	135	EGR1-human	H1	ENCSR000BJA
ENCFF054DVF	110	ENCFF948LKH	135	EGR1-human	H1	ENCSR000BJA
ENCFF236OFH	90	ENCFF229FMX	70	KLF16-human	HepG2geneticallymodifiedusingCRISPR	ENCSR009KLQ
ENCFF749BIB	100	ENCFF229FMX	70	KLF16-human	HepG2geneticallymodifiedusingCRISPR	ENCSR009KLQ
ENCFF813CAK	95	ENCFF229FMX	70	ZBED5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR656SIB
ENCFF865FVY	75	ENCFF229FMX	70	ZBED5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR656SIB
ENCFF296AWB	120	ENCFF440RZX	105	NR3C1-human	A549treatedwith5nMdexamethasonefor1hour	ENCSR000BHG
ENCFF160JFP	130	ENCFF440RZX	105	NR3C1-human	A549treatedwith5nMdexamethasonefor1hour	ENCSR000BHG
ENCFF641PXS	155	ENCFF200YPH	85	JUND-human	livermaleadult32years	ENCSR837GTK
ENCFF861AOO	130	ENCFF200YPH	85	JUND-human	livermaleadult32years	ENCSR837GTK
ENCFF748XLG	125	ENCFF823WOO	120	MAFK-human	IMR90	ENCSR000EFH
ENCFF044ZFD	135	ENCFF823WOO	120	MAFK-human	IMR90	ENCSR000EFH
ENCFF004PAV	115	ENCFF562HPN	105	ZBTB33-human	GM12878	ENCSR000BHC
ENCFF432KDE	130	ENCFF562HPN	105	ZBTB33-human	GM12878	ENCSR000BHC
ENCFF953PTA	115	ENCFF948LKH	135	FOSL1-human	H1	ENCSR000BNS
ENCFF113JVG	145	ENCFF948LKH	135	FOSL1-human	H1	ENCSR000BNS
ENCFF031NGW	225	ENCFF163YFX	100	CTCF-human	upperlobeofleftlungfemaleadult53years	ENCSR224WWI
ENCFF207GHC	100	ENCFF582CVJ	95	HLF-human	HepG2geneticallymodifiedusingCRISPR	ENCSR528PSI
ENCFF879CUM	105	ENCFF582CVJ	95	HLF-human	HepG2geneticallymodifiedusingCRISPR	ENCSR528PSI
ENCFF263NOT	80	ENCFF862QZT	80	SRF-human	GM12878	ENCSR000BGE
ENCFF731ZNW	80	ENCFF862QZT	80	SRF-human	GM12878	ENCSR000BGE
ENCFF584NMS	230	ENCFF419ELL	110	CTCF-human	stomachfemaleadult53years	ENCSR185CCV
ENCFF362FFV	230	ENCFF329YPE	115	CTCF-human	transversecolonmaleadult54years	ENCSR907BES
ENCFF273DQT	210	ENCFF329YPE	115	CTCF-human	transversecolonmaleadult54years	ENCSR907BES
ENCFF906RFX	195	ENCFF889VIV	180	CTCF-human	HCT116	ENCSR240PRQ
ENCFF666QHO	230	ENCFF889VIV	180	CTCF-human	HCT116	ENCSR240PRQ
ENCFF371LTF	105	ENCFF229FMX	70	HOMEZ-human	HepG2geneticallymodifiedusingCRISPR	ENCSR117CHD
ENCFF195MMC	125	ENCFF229FMX	70	HOMEZ-human	HepG2geneticallymodifiedusingCRISPR	ENCSR117CHD
ENCFF425DTQ	120	ENCFF229FMX	70	SOX5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR961WLZ
ENCFF392ZYL	135	ENCFF229FMX	70	SOX5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR961WLZ
ENCFF546BUY	150	ENCFF882WXC	150	CTCF-human	hepatocyteoriginatedfromH9	ENCSR252QYR
ENCFF176KZS	155	ENCFF882WXC	150	CTCF-human	hepatocyteoriginatedfromH9	ENCSR252QYR
ENCFF845MYC	95	ENCFF562HPN	105	PBX3-human	GM12878	ENCSR000BGR
ENCFF791EPM	90	ENCFF562HPN	105	PBX3-human	GM12878	ENCSR000BGR
ENCFF460NNC	165	ENCFF816XYV	200	CTCF-human	smoothmusclecelloriginatedfromH9	ENCSR261VAS
ENCFF039BDP	170	ENCFF816XYV	200	CTCF-human	smoothmusclecelloriginatedfromH9	ENCSR261VAS
ENCFF757SKM	125	ENCFF406KPS	110	ESR1-human	T47Dtreatedwith10nMestradiolfor1hour	ENCSR000BKN
ENCFF422VSE	115	ENCFF406KPS	110	ESR1-human	T47Dtreatedwith10nMestradiolfor1hour	ENCSR000BKN
ENCFF664APT	110	ENCFF810XBE	100	CTCF-human	A549	ENCSR000DNA
ENCFF663XYQ	110	ENCFF810XBE	100	CTCF-human	A549	ENCSR000DNA
ENCFF361FRE	130	ENCFF948LKH	135	RXRA-human	H1	ENCSR000BJW
ENCFF816OHX	125	ENCFF948LKH	135	RXRA-human	H1	ENCSR000BJW
ENCFF662PDI	110	ENCFF414MKM	80	GABPA-human	HL60	ENCSR000BTK
ENCFF282IXA	145	ENCFF414MKM	80	GABPA-human	HL60	ENCSR000BTK
ENCFF309DIF	120	ENCFF948LKH	135	NANOG-human	H1	ENCSR000BMT
ENCFF805SCJ	105	ENCFF948LKH	135	NANOG-human	H1	ENCSR000BMT
ENCFF105WJU	60	ENCFF291OFI	75	NR3C1-human	A549treatedwith002ethanolfor1hour	ENCSR000BJT
ENCFF717HZW	90	ENCFF291OFI	75	NR3C1-human	A549treatedwith002ethanolfor1hour	ENCSR000BJT
ENCFF591IRP	105	ENCFF715JBE	105	UBTF-human	K562	ENCSR000EFW
ENCFF708ISS	95	ENCFF715JBE	105	UBTF-human	K562	ENCSR000EFW
ENCFF230UCT	105	ENCFF440RZX	105	NR3C1-human	A549treatedwith500pMdexamethasonefor1hour	ENCSR000BHE
ENCFF577DPU	105	ENCFF440RZX	105	NR3C1-human	A549treatedwith500pMdexamethasonefor1hour	ENCSR000BHE
ENCFF612FTS	130	ENCFF094HMB	115	CTCF-human	GM12878	ENCSR000DRZ
ENCFF614VZE	95	ENCFF094HMB	115	CTCF-human	GM12878	ENCSR000DRZ
ENCFF044HXX	90	ENCFF200YPH	85	FOXA1-human	livermaleadult32years	ENCSR735KEY
ENCFF395OWK	105	ENCFF200YPH	85	FOXA1-human	livermaleadult32years	ENCSR735KEY
ENCFF155JVO	190	ENCFF758WOL	110	ZBTB40-human	K562geneticallymodifiedusingCRISPR	ENCSR158RYZ
ENCFF438XHU	200	ENCFF758WOL	110	ZBTB40-human	K562geneticallymodifiedusingCRISPR	ENCSR158RYZ
ENCFF010EXG	100	ENCFF459QXO	110	MAFF-human	HeLaS3	ENCSR140DSL
ENCFF387WOS	120	ENCFF459QXO	110	MAFF-human	HeLaS3	ENCSR140DSL
ENCFF606OTI	115	ENCFF948LKH	135	USF1-human	H1	ENCSR000BIU
ENCFF553NXK	135	ENCFF948LKH	135	USF1-human	H1	ENCSR000BIU
ENCFF863RJF	125	ENCFF562XPJ	115	PAX5-human	GM12891	ENCSR000BJH
ENCFF771COC	120	ENCFF562XPJ	115	PAX5-human	GM12891	ENCSR000BJH
ENCFF144LJX	200	ENCFF432JPE	155	CTCF-human	HeLaS3	ENCSR000AOA
ENCFF610QSE	210	ENCFF432JPE	155	CTCF-human	HeLaS3	ENCSR000AOA
ENCFF856JMS	220	ENCFF938UEI	70	KLF9-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR125ZYC
ENCFF692CNT	210	ENCFF938UEI	70	KLF9-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR125ZYC
ENCFF418EVV	115	ENCFF285LVE	110	ELF1-human	HepG2	ENCSR000BMZ
ENCFF930EXY	105	ENCFF285LVE	110	ELF1-human	HepG2	ENCSR000BMZ
ENCFF331BZT	115	ENCFF772PJM	120	SIX5-human	K562	ENCSR000BNW
ENCFF584HKJ	110	ENCFF772PJM	120	SIX5-human	K562	ENCSR000BNW
ENCFF576DWG	130	ENCFF656HEF	110	YY1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPM
ENCFF190FDQ	100	ENCFF656HEF	110	YY1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPM
ENCFF662NBQ	115	ENCFF423BBH	80	TCF7-human	GM12878	ENCSR501DKS
ENCFF698NSE	120	ENCFF423BBH	80	TCF7-human	GM12878	ENCSR501DKS
ENCFF599KFZ	120	ENCFF570JEY	80	JUND-human	A549treatedwith002ethanolfor1hour	ENCSR000BRF
ENCFF503HYC	95	ENCFF570JEY	80	JUND-human	A549treatedwith002ethanolfor1hour	ENCSR000BRF
ENCFF127DWU	90	ENCFF290EGQ	85	CBFB-human	GM12878	ENCSR860UHK
ENCFF890TFD	120	ENCFF290EGQ	85	CBFB-human	GM12878	ENCSR860UHK
ENCFF168KTM	125	ENCFF942FFX	85	IRF1-human	K562treatedwithInterferongammafor30minutes	ENCSR000EGK
ENCFF299HHL	120	ENCFF942FFX	85	IRF1-human	K562treatedwithInterferongammafor30minutes	ENCSR000EGK
ENCFF125MJO	150	ENCFF656HEF	110	FOSL2-human	A549treatedwith002ethanolfor1hour	ENCSR000BQO
ENCFF585INN	110	ENCFF656HEF	110	FOSL2-human	A549treatedwith002ethanolfor1hour	ENCSR000BQO
ENCFF588EKB	135	ENCFF948LKH	135	SIX5-human	H1	ENCSR000BIQ
ENCFF892YBG	125	ENCFF948LKH	135	SIX5-human	H1	ENCSR000BIQ
ENCFF199GHD	110	ENCFF943DZB	85	RXRA-human	HepG2	ENCSR000BHU
ENCFF333LDV	110	ENCFF943DZB	85	RXRA-human	HepG2	ENCSR000BHU
ENCFF450IPE	90	ENCFF229FMX	70	KLF11-human	HepG2geneticallymodifiedusingCRISPR	ENCSR616OSG
ENCFF515VII	105	ENCFF229FMX	70	KLF11-human	HepG2geneticallymodifiedusingCRISPR	ENCSR616OSG
ENCFF425FSK	130	ENCFF438FFV	100	ZEB1-human	GM12878	ENCSR000BND
ENCFF582LPW	140	ENCFF438FFV	100	ZEB1-human	GM12878	ENCSR000BND
ENCFF418UZJ	115	ENCFF353CVX	130	CTCF-human	GM13977	ENCSR000DLB
ENCFF068ETE	105	ENCFF353CVX	130	CTCF-human	GM13977	ENCSR000DLB
ENCFF658AIS	170	ENCFF370PSF	100	HNF4A-human	liverfemalechild4years	ENCSR445QRF
ENCFF058OZQ	130	ENCFF370PSF	100	HNF4A-human	liverfemalechild4years	ENCSR445QRF
ENCFF620HUP	190	ENCFF108PMF	225	FOS-human	endothelialcellofumbilicalveinnewborn	ENCSR000EVU
ENCFF097IAS	180	ENCFF108PMF	225	FOS-human	endothelialcellofumbilicalveinnewborn	ENCSR000EVU
ENCFF273SBT	135	ENCFF626VZO	75	NR2F6-human	HepG2	ENCSR518WPL
ENCFF140CDB	145	ENCFF626VZO	75	NR2F6-human	HepG2	ENCSR518WPL
ENCFF974QRX	100	ENCFF948LKH	135	BCL11A-human	H1	ENCSR000BMJ
ENCFF597WPX	330	ENCFF699KKU	75	NR2C2-human	K562geneticallymodifiedusingstabletransfection	ENCSR750LYM
ENCFF856EXS	290	ENCFF699KKU	75	NR2C2-human	K562geneticallymodifiedusingstabletransfection	ENCSR750LYM
ENCFF473NMO	95	ENCFF709XAA	65	CREM-human	K562	ENCSR077DKV
ENCFF363YKW	90	ENCFF709XAA	65	CREM-human	K562	ENCSR077DKV
ENCFF120MJN	120	ENCFF579QDW	130	EP300-human	GM12878	ENCSR000DZG
ENCFF832UST	110	ENCFF579QDW	130	EP300-human	GM12878	ENCSR000DZG
ENCFF255AHN	120	ENCFF494UKO	115	CEBPB-human	IMR90	ENCSR000EFM
ENCFF643KYI	115	ENCFF494UKO	115	CEBPB-human	IMR90	ENCSR000EFM
ENCFF639IFG	130	ENCFF883FFC	60	CTCF-human	HeLaS3G1bphase	ENCSR000DUB
ENCFF691NNZ	100	ENCFF883FFC	60	CTCF-human	HeLaS3G1bphase	ENCSR000DUB
ENCFF098FBI	120	ENCFF156FED	110	SMAD1-human	K562	ENCSR038DJJ
ENCFF720GSG	120	ENCFF156FED	110	SMAD1-human	K562	ENCSR038DJJ
ENCFF677PSB	100	ENCFF165KZY	115	CEBPB-human	HepG2	ENCSR000EEE
ENCFF514FUP	100	ENCFF165KZY	115	CEBPB-human	HepG2	ENCSR000EEE
ENCFF319BJC	120	ENCFF103VPA	80	TFAP4-human	HepG2	ENCSR103SZL
ENCFF340QRX	115	ENCFF103VPA	80	TFAP4-human	HepG2	ENCSR103SZL
ENCFF448PRG	110	ENCFF229FMX	70	SMAD4-human	HepG2geneticallymodifiedusingCRISPR	ENCSR826YMT
ENCFF428YKP	115	ENCFF229FMX	70	SMAD4-human	HepG2geneticallymodifiedusingCRISPR	ENCSR826YMT
ENCFF092EIK	130	ENCFF167KVB	75	GABPA-human	HepG2geneticallymodifiedusingCRISPR	ENCSR269TNX
ENCFF895OOM	115	ENCFF167KVB	75	GABPA-human	HepG2geneticallymodifiedusingCRISPR	ENCSR269TNX
ENCFF317HWD	120	ENCFF229FMX	70	BCL6-human	HepG2geneticallymodifiedusingCRISPR	ENCSR759BDG
ENCFF408DIJ	120	ENCFF229FMX	70	BCL6-human	HepG2geneticallymodifiedusingCRISPR	ENCSR759BDG
ENCFF713PKK	130	ENCFF438FFV	100	RXRA-human	GM12878	ENCSR000BJD
ENCFF924KUA	120	ENCFF438FFV	100	RXRA-human	GM12878	ENCSR000BJD
ENCFF264UCL	105	ENCFF656HEF	110	ELF1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPT
ENCFF204HXG	100	ENCFF656HEF	110	ELF1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPT
ENCFF173MEF	105	ENCFF482LDC	100	STAT1-human	K562treatedwithInterferongammafor6hours	ENCSR000EHJ
ENCFF041UWI	105	ENCFF482LDC	100	STAT1-human	K562treatedwithInterferongammafor6hours	ENCSR000EHJ
ENCFF821VJR	145	ENCFF927WZT	80	JUND-human	MCF7	ENCSR000BSU
ENCFF232NIJ	110	ENCFF927WZT	80	JUND-human	MCF7	ENCSR000BSU
ENCFF920UGA	165	ENCFF710SMS	110	NFYB-human	GM12878	ENCSR000DNM
ENCFF347TBE	170	ENCFF710SMS	110	NFYB-human	GM12878	ENCSR000DNM
ENCFF536POL	215	ENCFF872XJB	1345	CTCF-human	prostateglandmaleadult37years	ENCSR946MNG
ENCFF399MTG	120	ENCFF229FMX	70	NR2F6-human	HepG2geneticallymodifiedusingCRISPR	ENCSR798IJO
ENCFF471KSC	115	ENCFF229FMX	70	NR2F6-human	HepG2geneticallymodifiedusingCRISPR	ENCSR798IJO
ENCFF603DLZ	80	ENCFF156EDZ	90	E2F4-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR505NMN
ENCFF034JFG	70	ENCFF156EDZ	90	E2F4-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR505NMN
ENCFF310IBX	285	ENCFF676EKJ	210	CTCF-human	SUDHL6	ENCSR125DKL
ENCFF749AWO	195	ENCFF676EKJ	210	CTCF-human	SUDHL6	ENCSR125DKL
ENCFF453OOT	150	ENCFF579QDW	130	STAT3-human	GM12878	ENCSR000DZV
ENCFF145QDZ	120	ENCFF579QDW	130	STAT3-human	GM12878	ENCSR000DZV
ENCFF671CYT	245	ENCFF123TAC	90	CTCF-human	spleenmaleadult37years	ENCSR343RJH
ENCFF993OWI	150	ENCFF123TAC	90	CTCF-human	spleenmaleadult37years	ENCSR343RJH
ENCFF074OYP	90	ENCFF862QZT	80	USF1-human	GM12878	ENCSR000BGI
ENCFF737VAT	110	ENCFF862QZT	80	USF1-human	GM12878	ENCSR000BGI
ENCFF876KTI	80	ENCFF862QZT	80	REST-human	GM12878	ENCSR000BGF
ENCFF455QSR	75	ENCFF862QZT	80	REST-human	GM12878	ENCSR000BGF
ENCFF953FZD	105	ENCFF165KZY	115	EP300-human	HepG2	ENCSR000EDV
ENCFF352YDX	90	ENCFF165KZY	115	EP300-human	HepG2	ENCSR000EDV
ENCFF719XQY	135	ENCFF162ZOO	70	RNF2-human	K562	ENCSR076YPO
ENCFF544DDY	110	ENCFF162ZOO	70	RNF2-human	K562	ENCSR076YPO
ENCFF754AZB	225	ENCFF305KDB	240	CTCF-human	esophagussquamousepitheliumfemaleadult53years	ENCSR756URL
ENCFF505ODB	215	ENCFF524KQP	245	CTCF-human	rightatriumauricularregionfemaleadult53years	ENCSR401KRN
ENCFF728WOA	120	ENCFF482LDC	100	IRF1-human	K562treatedwithInterferongammafor6hours	ENCSR000EGT
ENCFF489YJG	115	ENCFF482LDC	100	IRF1-human	K562treatedwithInterferongammafor6hours	ENCSR000EGT
ENCFF088ESD	90	ENCFF525BCB	75	CTCF-human	AG09309	ENCSR000DPP
ENCFF135FSJ	120	ENCFF525BCB	75	CTCF-human	AG09309	ENCSR000DPP
ENCFF453XVL	110	ENCFF229FMX	70	ZNF7-human	HepG2geneticallymodifiedusingCRISPR	ENCSR553QMC
ENCFF372XYO	90	ENCFF229FMX	70	ZNF7-human	HepG2geneticallymodifiedusingCRISPR	ENCSR553QMC
ENCFF551QAX	110	ENCFF928IDQ	85	BHLHE40-human	IMR90	ENCSR957KYB
ENCFF953OAD	140	ENCFF928IDQ	85	BHLHE40-human	IMR90	ENCSR957KYB
ENCFF496HGU	95	ENCFF741TQN	95	GABPA-human	HepG2	ENCSR000BJK
ENCFF070WEO	90	ENCFF741TQN	95	GABPA-human	HepG2	ENCSR000BJK
ENCFF340SPK	110	ENCFF157YWH	80	EBF1-human	GM12878	ENCSR000DZQ
ENCFF746KYL	135	ENCFF157YWH	80	EBF1-human	GM12878	ENCSR000DZQ
ENCFF471WJE	120	ENCFF513EWK	90	RFX5-human	H1	ENCSR000ECF
ENCFF259GVS	135	ENCFF513EWK	90	RFX5-human	H1	ENCSR000ECF
ENCFF526VWA	230	ENCFF754VNY	135	FOSL2-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR546KCN
ENCFF121PXE	215	ENCFF754VNY	135	FOSL2-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR546KCN
ENCFF793TUM	150	ENCFF229FMX	70	THRB-human	HepG2geneticallymodifiedusingCRISPR	ENCSR430JGJ
ENCFF626RYW	95	ENCFF229FMX	70	THRB-human	HepG2geneticallymodifiedusingCRISPR	ENCSR430JGJ
ENCFF553QXD	110	ENCFF229FMX	70	RFX3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR633OVO
ENCFF685WAA	100	ENCFF229FMX	70	RFX3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR633OVO
ENCFF057KBN	110	ENCFF156FED	110	IRF2-human	K562	ENCSR376WCJ
ENCFF178EJY	115	ENCFF156FED	110	IRF2-human	K562	ENCSR376WCJ
ENCFF388UNJ	110	ENCFF255XVF	55	CTCF-human	epithelialcellofesophagus	ENCSR000DTR
ENCFF552FJB	125	ENCFF255XVF	55	CTCF-human	epithelialcellofesophagus	ENCSR000DTR
ENCFF488CXC	115	ENCFF023NGN	115	CTCF-human	K562	ENCSR000EGM
ENCFF198CVB	110	ENCFF023NGN	115	CTCF-human	K562	ENCSR000EGM
ENCFF421SOC	135	ENCFF667XXT	75	ZHX2-human	MCF7	ENCSR876UYH
ENCFF527PGM	75	ENCFF667XXT	75	ZHX2-human	MCF7	ENCSR876UYH
ENCFF735TSS	100	ENCFF332BFE	100	GTF2B-human	K562	ENCSR000DOE
ENCFF491JGC	125	ENCFF332BFE	100	GTF2B-human	K562	ENCSR000DOE
ENCFF325BGM	125	ENCFF570JEY	80	FOXA1-human	A549treatedwith002ethanolfor1hour	ENCSR000BRD
ENCFF285GBC	135	ENCFF570JEY	80	FOXA1-human	A549treatedwith002ethanolfor1hour	ENCSR000BRD
ENCFF916PMP	105	ENCFF948LKH	135	BCL11A-human	H1	ENCSR000BIP
ENCFF901MSA	110	ENCFF229FMX	70	ZNF652-human	HepG2geneticallymodifiedusingCRISPR	ENCSR502GAX
ENCFF047TEL	130	ENCFF229FMX	70	ZNF652-human	HepG2geneticallymodifiedusingCRISPR	ENCSR502GAX
ENCFF546IMN	100	ENCFF772PJM	120	REST-human	K562	ENCSR000BMW
ENCFF204TUQ	90	ENCFF772PJM	120	REST-human	K562	ENCSR000BMW
ENCFF576IPP	225	ENCFF285LVE	110	FOXA2-human	HepG2	ENCSR000BNI
ENCFF933ITF	95	ENCFF285LVE	110	FOXA2-human	HepG2	ENCSR000BNI
ENCFF240MQI	135	ENCFF562HPN	105	IRF4-human	GM12878	ENCSR000BGY
ENCFF888PAI	150	ENCFF562HPN	105	IRF4-human	GM12878	ENCSR000BGY
ENCFF749RRI	135	ENCFF942FFX	85	JUN-human	K562treatedwithInterferongammafor30minutes	ENCSR000EZT
ENCFF784MLU	115	ENCFF942FFX	85	JUN-human	K562treatedwithInterferongammafor30minutes	ENCSR000EZT
ENCFF613CHF	220	ENCFF675MQQ	450	TCF7L2-human	Panc1	ENCSR000EXL
ENCFF786INL	190	ENCFF675MQQ	450	TCF7L2-human	Panc1	ENCSR000EXL
ENCFF425QOU	125	ENCFF904IZI	125	CTCF-human	liverfemalechild6yearsandmaleadult32years	ENCSR254YRM
ENCFF528IMZ	125	ENCFF904IZI	125	CTCF-human	liverfemalechild6yearsandmaleadult32years	ENCSR254YRM
ENCFF330EUW	190	ENCFF530TVV	200	GATA2-human	SHSY5Y	ENCSR000EYB
ENCFF658RFI	200	ENCFF530TVV	200	GATA2-human	SHSY5Y	ENCSR000EYB
ENCFF275TPO	110	ENCFF438FFV	100	PAX5-human	GM12878	ENCSR000BHD
ENCFF018FQW	100	ENCFF438FFV	100	PAX5-human	GM12878	ENCSR000BHD
ENCFF931SIP	205	ENCFF782SLJ	220	CTCF-human	thyroidglandmaleadult54years	ENCSR033KMZ
ENCFF835YDD	120	ENCFF857MFM	130	CTCF-human	A549	ENCSR000DYD
ENCFF280TYK	120	ENCFF857MFM	130	CTCF-human	A549	ENCSR000DYD
ENCFF726UVN	130	ENCFF023NGN	115	MXI1-human	K562	ENCSR000EGZ
ENCFF388QNA	105	ENCFF023NGN	115	MXI1-human	K562	ENCSR000EGZ
ENCFF295FAD	100	ENCFF229FMX	70	AHR-human	HepG2geneticallymodifiedusingCRISPR	ENCSR412ZDC
ENCFF792WHM	120	ENCFF229FMX	70	AHR-human	HepG2geneticallymodifiedusingCRISPR	ENCSR412ZDC
ENCFF641NME	190	ENCFF584UYW	180	CTCF-human	gastroesophagealsphinctermaleadult54years	ENCSR805YLE
ENCFF261FCS	90	ENCFF506QEL	75	CBX1-human	HepG2	ENCSR819WZE
ENCFF817XAZ	210	ENCFF388CEW	90	CTCF-human	thyroidglandfemaleadult51years	ENCSR145HBC
ENCFF107SFO	115	ENCFF812UUO	65	CTCF-human	GM10248	ENCSR000DKP
ENCFF505IMK	110	ENCFF812UUO	65	CTCF-human	GM10248	ENCSR000DKP
ENCFF966DPW	130	ENCFF801RTD	140	CTCF-human	mammaryepithelialcellfemaleadult50years	ENCSR000ALV
ENCFF440NGA	125	ENCFF801RTD	140	CTCF-human	mammaryepithelialcellfemaleadult50years	ENCSR000ALV
ENCFF653BQI	135	ENCFF656HEF	110	REST-human	A549treatedwith002ethanolfor1hour	ENCSR000BQP
ENCFF807YWR	100	ENCFF656HEF	110	REST-human	A549treatedwith002ethanolfor1hour	ENCSR000BQP
ENCFF758ZNV	135	ENCFF662VGC	135	CTCF-human	fibroblastoflungmaleadult45years	ENCSR000DWY
ENCFF507UJN	130	ENCFF162ZOO	70	NR2F6-human	K562	ENCSR707QWA
ENCFF908MXL	140	ENCFF162ZOO	70	NR2F6-human	K562	ENCSR707QWA
ENCFF033VMH	115	ENCFF229FMX	70	RERE-human	HepG2geneticallymodifiedusingCRISPR	ENCSR988ZSI
ENCFF328AHJ	100	ENCFF229FMX	70	RERE-human	HepG2geneticallymodifiedusingCRISPR	ENCSR988ZSI
ENCFF158TTY	110	ENCFF579QDW	130	MAX-human	GM12878	ENCSR000DZF
ENCFF577KAH	95	ENCFF579QDW	130	MAX-human	GM12878	ENCSR000DZF
ENCFF290MEZ	125	ENCFF063BAN	85	ZBTB11-human	K562	ENCSR331GDC
ENCFF544ZPF	120	ENCFF063BAN	85	ZBTB11-human	K562	ENCSR331GDC
ENCFF486CNU	230	ENCFF769EOR	105	CTCF-human	testismaleadult37years	ENCSR753RME
ENCFF904PBR	170	ENCFF358ZBU	90	FOXJ2-human	K562geneticallymodifiedusingstabletransfection	ENCSR847LBF
ENCFF834YLT	180	ENCFF358ZBU	90	FOXJ2-human	K562geneticallymodifiedusingstabletransfection	ENCSR847LBF
ENCFF278VUO	135	ENCFF714ZPY	125	EP300-human	HeLaS3	ENCSR680OFU
ENCFF946EJI	110	ENCFF714ZPY	125	EP300-human	HeLaS3	ENCSR680OFU
ENCFF118APQ	105	ENCFF286XEY	105	CTCF-human	keratinocytefemale	ENCSR000DNC
ENCFF291HCN	95	ENCFF286XEY	105	CTCF-human	keratinocytefemale	ENCSR000DNC
ENCFF503DXB	120	ENCFF572DEU	95	CTCF-human	GM12801	ENCSR000DQY
ENCFF097GYE	130	ENCFF023NGN	115	MAFF-human	K562	ENCSR000EGI
ENCFF589IXE	120	ENCFF023NGN	115	MAFF-human	K562	ENCSR000EGI
ENCFF827SLL	90	ENCFF234NVU	110	E2F6-human	K562	ENCSR000BLI
ENCFF823GCX	95	ENCFF234NVU	110	E2F6-human	K562	ENCSR000BLI
ENCFF564FBJ	165	ENCFF967YTY	155	E2F5-human	K562geneticallymodifiedusingCRISPR	ENCSR709DRM
ENCFF980YNA	155	ENCFF967YTY	155	E2F5-human	K562geneticallymodifiedusingCRISPR	ENCSR709DRM
ENCFF718WPO	175	ENCFF538CEM	1270	CTCF-human	tibialnervemaleadult54years	ENCSR689VEF
ENCFF044TAL	125	ENCFF772PJM	120	YY1-human	K562	ENCSR000BKU
ENCFF651HPM	120	ENCFF772PJM	120	YY1-human	K562	ENCSR000BKU
ENCFF092CZO	210	ENCFF838RMJ	110	CTCF-human	DOHH2	ENCSR084RDK
ENCFF863PSQ	240	ENCFF838RMJ	110	CTCF-human	DOHH2	ENCSR084RDK
ENCFF266IKT	95	ENCFF229FMX	70	KLF6-human	HepG2geneticallymodifiedusingCRISPR	ENCSR757EKM
ENCFF407QSA	95	ENCFF229FMX	70	KLF6-human	HepG2geneticallymodifiedusingCRISPR	ENCSR757EKM
ENCFF267XWV	115	ENCFF332BFE	100	NFYB-human	K562	ENCSR000EGQ
ENCFF817VBY	150	ENCFF332BFE	100	NFYB-human	K562	ENCSR000EGQ
ENCFF299JTX	230	ENCFF535QXZ	95	CTCF-human	osteoblast	ENCSR000APF
ENCFF803JSH	165	ENCFF535QXZ	95	CTCF-human	osteoblast	ENCSR000APF
ENCFF135DRQ	90	ENCFF381ASB	105	CTCF-human	H1	ENCSR000DLK
ENCFF993WWR	150	ENCFF370PSF	100	ZBTB33-human	liverfemalechild4years	ENCSR345YWJ
ENCFF209PBB	155	ENCFF370PSF	100	ZBTB33-human	liverfemalechild4years	ENCSR345YWJ
ENCFF189GFZ	105	ENCFF077ITP	130	CTCF-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000BLX
ENCFF132NVE	80	ENCFF077ITP	130	CTCF-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000BLX
ENCFF417IMO	185	ENCFF656HEF	110	EP300-human	A549treatedwith002ethanolfor1hour	ENCSR000BPW
ENCFF008FSR	150	ENCFF656HEF	110	EP300-human	A549treatedwith002ethanolfor1hour	ENCSR000BPW
ENCFF723RMN	175	ENCFF656HEF	110	TCF12-human	A549treatedwith002ethanolfor1hour	ENCSR000BQQ
ENCFF264CUG	110	ENCFF656HEF	110	TCF12-human	A549treatedwith002ethanolfor1hour	ENCSR000BQQ
ENCFF354ONG	115	ENCFF946WAV	120	MYC-human	MCF7	ENCSR000DMQ
ENCFF602ZTX	100	ENCFF946WAV	120	MYC-human	MCF7	ENCSR000DMQ
ENCFF232NLC	125	ENCFF946WAV	120	CTCF-human	MCF7	ENCSR000DMR
